Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Weighted Score,Composite Index,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Gabon,0.6538398826023154,0.746,0.2610485436893204,0.642,0.786,0.5855141007030247,0.5240374353022326,Sub-Saharan Africa,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822
Nigeria,0.48410239686939505,0.74,0.13052427184465998,0.718,0.911,0.5246617870219834,0.5045891733060981,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233
Cameroon,0.4386107940648948,0.686,0.16765048543689298,0.686,0.846,0.4981958595786917,0.46798432176574767,Sub-Saharan Africa,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618
Mozambique,0.2590901679439098,0.692,0.0,0.851,0.66,0.4097770503831729,0.46076415506447543,Sub-Saharan Africa,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269
Iraq,0.582259905429643,0.718,0.461553398058252,0.646,0.876,0.6181663211434559,0.5601291346402943,Middle East and Northern Africa,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922
Morocco,0.5618783629545084,0.553,0.48042718446601906,0.787,0.811,0.5984203050028574,0.5542989719091419,Middle East and Northern Africa,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172
Iran,0.6657427034077937,0.778,0.5852427184466014,0.593,0.747,0.6652834906339884,0.595767474465586,Middle East and Northern Africa,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086
Senegal,0.42850154899722803,0.629,0.32889320388349486,0.772,0.846,0.5369737656700422,0.5217478567834816,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843
Mauritania,0.4995923691504972,0.644,0.3473786407766988,0.622,0.657,0.5245223709393239,0.46603236114188795,Sub-Saharan Africa,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219
Burkina Faso,0.34893200717430284,0.663,0.15266019417475718,0.696,0.771,0.45694465069598017,0.44142852536808325,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747
Ghana,0.5004076308495026,0.641,0.2808932038834948,0.777,0.881,0.5531955902257245,0.5295634079515088,Sub-Saharan Africa,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087
Pakistan,0.49127669982064226,0.601,0.22458252427184444,0.766,0.787,0.5173286410141538,0.48783445472491116,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671
Niger,0.255013859448883,0.59,0.19495145631067912,0.788,0.734,0.4348420219123347,0.44674171473746405,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387
Tunisia,0.6060655470405999,0.73,0.6007766990291259,0.576,0.907,0.6551138388694614,0.5749789274195862,Middle East and Northern Africa,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431
Kenya,0.47790640795695427,0.69,0.27064077669902886,0.696,0.852,0.5386321165618435,0.5058554175159113,Sub-Saharan Africa,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542
Sri Lanka,0.6463394749714658,0.826,0.6066019417475728,0.787,0.808,0.7096023279283329,0.7044997176620649,Southern Asia,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828
Uganda,0.35692157182455564,0.794,0.28671844660194123,0.701,0.857,0.528406083197852,0.5346890739236018,Sub-Saharan Africa,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066
Chad,0.2827327572150661,0.722,0.06194174757281523,0.677,0.807,0.42695526405772366,0.4258588478241084,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386
Cambodia,0.4660035871514755,0.747,0.40271844660194134,0.958,0.857,0.6192806877959279,0.6727356022471459,Southeastern Asia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359
Benin,0.420022827327572,0.437,0.17728155339805785,0.743,0.576,0.42677723654778604,0.3779827901526342,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
Myanmar,0.4691015816076961,0.787,0.3828349514563105,0.727,0.658,0.5686892123463865,0.5713980808703023,Southeastern Asia,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588
Bangladesh,0.5149192890917985,0.544,0.5055533980582521,0.845,0.698,0.5862141362421026,0.5678067394403038,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222
Mali,0.34697537909668996,0.593,0.1504077669902908,0.713,0.846,0.45184455547657965,0.42539047288303505,Sub-Saharan Africa,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798
Egypt,0.6261209848361325,0.726,0.46497087378640733,0.732,0.58,0.6170790138974416,0.5889124914355581,Middle East and Northern Africa,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291
Togo,0.3499103212131093,0.595,0.22986407766990258,0.657,0.74,0.4539891157814084,0.4156177003539997,Sub-Saharan Africa,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681
Jordan,0.5874775803032773,0.729,0.624077669902912,0.77,0.687,0.6622626915667111,0.6472634588661168,Middle East and Northern Africa,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053
Ethiopia,0.3606717756399803,0.782,0.3560388349514563,0.72,0.789,0.5405112414298582,0.5519545338816131,Sub-Saharan Africa,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325
Liberia,0.28534159465188325,0.596,0.20077669902912598,0.735,0.83,0.4482466531528465,0.43844461566154563,Sub-Saharan Africa,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362
India,0.5269851622370781,0.608,0.3591067961165044,0.897,0.774,0.5814222477002496,0.585145135917201,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475
Madagascar,0.2874612750692972,0.65,0.2532038834951451,0.522,0.742,0.4320393533945754,0.37526459020894143,Sub-Saharan Africa,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333
Zambia,0.4152943094733409,0.694,0.13599999999999968,0.791,0.818,0.4978382928420022,0.50323639579893,Sub-Saharan Africa,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
Tanzania,0.3799119517365074,0.653,0.3056699029126211,0.838,0.554,0.5020910612491074,0.5277624752646061,Sub-Saharan Africa,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377
Comoros,0.41545736181314197,0.471,0.3066019417475725,0.47,0.727,0.43868769398083574,0.31464337305278395,Sub-Saharan Africa,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441
Malawi,0.28941790314691007,0.531,0.26970873786407745,0.75,0.749,0.4478525554100924,0.432156619350691,Sub-Saharan Africa,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128
Botswana,0.6688406978640141,0.753,0.12407766990291247,0.742,0.83,0.5765716268349323,0.5409312645189367,Sub-Saharan Africa,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461
Congo (Kinshasa),0.24131746290559264,0.652,0.14932038834951422,0.664,0.834,0.4231253359590563,0.41024957909863197,Sub-Saharan Africa,120,4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834
Zimbabwe,0.34469264633947494,0.69,0.09786407766990246,0.654,0.766,0.4405738133193181,0.4191738783465086,Sub-Saharan Africa,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987
Sierra Leone,0.30441871840860923,0.555,0.1308737864077667,0.66,0.858,0.4198440621245244,0.37726383916394274,Sub-Saharan Africa,123,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488
Lebanon,0.6442197945540519,0.53,0.5677281553398057,0.474,0.891,0.601397977201167,0.449388135576097,Middle East and Northern Africa,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854
Afghanistan,0.2930050546225337,0.341,0.12357281553398058,0.382,0.847,0.3289947202702552,0.16965666619087022,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
